t=2026-04-22T17:40:47-0600 lvl=info msg="no configuration paths supplied"
t=2026-04-22T17:40:47-0600 lvl=info msg="using configuration at default config path" path=/home/spiee/snap/ngrok/375/.config/ngrok/ngrok.yml
t=2026-04-22T17:40:47-0600 lvl=info msg="open config file" path=/home/spiee/snap/ngrok/375/.config/ngrok/ngrok.yml err=nil
t=2026-04-22T17:40:47-0600 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-22T17:40:47-0600 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-22T17:40:47-0600 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-22T17:40:47-0600 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-22T17:40:48-0600 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5179 url=https://monsoon-aim-mashed.ngrok-free.dev
t=2026-04-22T17:42:13-0600 lvl=info msg="join connections" obj=join id=62fee30aa342 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:25039
t=2026-04-22T17:42:14-0600 lvl=info msg="join connections" obj=join id=080c82cb2b58 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:25039
t=2026-04-22T17:42:14-0600 lvl=info msg="join connections" obj=join id=360546ae8b57 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:25039
t=2026-04-22T17:42:14-0600 lvl=info msg="join connections" obj=join id=00afd0ecdddd l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:25039
t=2026-04-22T17:42:15-0600 lvl=info msg="join connections" obj=join id=b079d362ac61 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:25039
t=2026-04-22T17:42:17-0600 lvl=info msg="join connections" obj=join id=8432a9b5d6b9 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:35610
t=2026-04-22T17:42:47-0600 lvl=info msg="join connections" obj=join id=5d71510d09c0 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:25039
t=2026-04-22T17:43:17-0600 lvl=info msg="join connections" obj=join id=1396352f17bc l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:25039
t=2026-04-22T17:43:47-0600 lvl=info msg="join connections" obj=join id=0e367f2ffdac l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:25039
t=2026-04-22T17:44:06-0600 lvl=info msg="join connections" obj=join id=d24eb5ffa912 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:25039
t=2026-04-22T17:44:06-0600 lvl=info msg="join connections" obj=join id=58c46dfb35a5 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:25039
t=2026-04-22T17:44:06-0600 lvl=info msg="join connections" obj=join id=4b08391d2c45 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:65072
t=2026-04-22T17:44:07-0600 lvl=info msg="join connections" obj=join id=5cc52f3de1b8 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:33970
t=2026-04-22T17:44:07-0600 lvl=info msg="join connections" obj=join id=c8165086004d l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:33970
t=2026-04-22T17:44:07-0600 lvl=info msg="join connections" obj=join id=32d3db1ebe17 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:33970
t=2026-04-22T17:44:08-0600 lvl=info msg="join connections" obj=join id=5900df94af55 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:33970
t=2026-04-22T17:44:08-0600 lvl=info msg="join connections" obj=join id=1e60e1bcd338 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:33970
t=2026-04-22T17:44:08-0600 lvl=info msg="join connections" obj=join id=86243e4ccb3d l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:33970
t=2026-04-22T17:44:08-0600 lvl=info msg="join connections" obj=join id=d4c4ea80a470 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:34184
t=2026-04-22T17:44:20-0600 lvl=info msg="join connections" obj=join id=a5f5d738895c l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:33970
t=2026-04-22T17:44:21-0600 lvl=info msg="join connections" obj=join id=5a0c3c297edd l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:33970
t=2026-04-22T17:44:21-0600 lvl=info msg="join connections" obj=join id=c436469c76d1 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:33970
t=2026-04-22T17:44:21-0600 lvl=info msg="join connections" obj=join id=93b4de06c9c6 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:33970
t=2026-04-22T17:44:21-0600 lvl=info msg="join connections" obj=join id=c150b1239b5b l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:33970
t=2026-04-22T17:44:21-0600 lvl=info msg="join connections" obj=join id=3aadac2d3bb9 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:33970
t=2026-04-22T17:44:21-0600 lvl=info msg="join connections" obj=join id=de1185a5e859 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:33970
t=2026-04-22T17:44:21-0600 lvl=info msg="join connections" obj=join id=c248946de6f8 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:14189
t=2026-04-22T17:44:24-0600 lvl=info msg="join connections" obj=join id=a92a95067c19 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:33970
t=2026-04-22T17:44:25-0600 lvl=info msg="join connections" obj=join id=bfaa328e6210 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:33970
t=2026-04-22T17:44:25-0600 lvl=info msg="join connections" obj=join id=184c65438ab3 l=127.0.0.1:5179 r=[2800:860:71bd:71fe:a132:af0:b5c1:116e]:33970
